Scene,Title,AppliesTo,CoreInteraction,People,PrimaryLocation,FurnitureAndProps,BodyLanguage,DoNotInclude,NegativeSpace
S26,Travel Information: Directions & Transport Options,"H09, G02, G04, F03, F05, F07, E05, E10","Staff explains how to get somewhere, including routes or transport choices.",Japanese embassy / consulate staff | Local person (visitor or caller),Embassy / consulate office OR reception | Use **office desk** when phone-based; **reception counter** when visitor is present,"Desk or reception counter | One paper map / route sheet (generic, no text)",Staff pointing lightly at paper or gesturing direction | Visitor listening attentively,Vehicles | City landmarks | Arrows drawn into the scene,Upper-right or right margin (≈30%)
S03,Airport Pickup Coordination (Staff–Driver),"G05, G07",Staff coordinates pickup details and discusses delays or routes.,Japanese staff | Local driver,Embassy / consulate office,Desk | Printed itinerary or schedule sheet,Neutral discussion posture | Slight hand gesture toward document,Airport interiors | Cars in the foreground,Top-right
S17,Hotel Selection Discussion,"E06, D10",Choosing a hotel; explaining reasons; responding to alternatives.,Japanese staff | Local staff colleague,Embassy / consulate meeting area,Small meeting table | Two brochure-like papers (no readable text),One person indicating a document | Other nodding or responding,Hotel logos | City skylines,Upper-left or right
S08,Office Supplies / Delivery Coordination,"H04, G03, D07","Ordering supplies, changing delivery schedules, thanking vendor.",Japanese staff | Local vendor or service representative,Embassy / consulate office desk,Desk | Delivery note or invoice (generic),"Professional, transactional | Calm explanation",Brand names | Boxes stacked high,Right side
S22,Accounting / Payroll Rule Explanation,"F02, D01, C06",Explaining policy constraints; refusing or limiting a request politely.,Japanese staff | Local staff member,HR / accounting desk,Desk | One policy or payslip-style document,Staff explaining with open palm | Other person listening seriously,Emotive expressions | Visible numbers or amounts,Upper-right
S23,Apartment / Housing Inquiry,"F01, D09",Requesting housing information and recommendations.,Japanese staff | Local real-estate agent,Office desk (phone or in-person),Desk | Apartment listing sheet (no addresses),"Neutral, informative",Detailed interiors | City-specific architecture,Right margin
S24,Vendor Complaint / Service Failure,"F09, E04",Raising a complaint; requesting correction.,Japanese staff | Local vendor representative,Embassy / consulate office,Desk | Delivery slip or checklist with issue marked (icon only),Calm but firm | No aggressive gestures,Red warning symbols | Emotional exaggeration,Upper-right
S06,Dinner or Event: Professional Small Talk,"H08, G08",Seated professional conversation during a meal or event.,Japanese staff | Local guest,Restaurant or event venue,Table | Minimal tableware,"Relaxed, polite | Slight smile acceptable",Alcohol emphasis | Decorative food focus,Upper area
S18,Job Interview,"F04, C07",Interview questions and responses.,Interviewer (Japanese staff) | Candidate (local),Small meeting room,Table | Notepad or folder,"Formal, attentive | No dramatic gestures",Whiteboards | Corporate branding,Upper-right
S26-R,Reception: Giving Directions Inside the Facility,H01 (and any direction-giving reception roleplay),Visitor asks where something is; staff explains.,Japanese reception staff | Visitor,Embassy / consulate reception desk,Reception counter | Corridor or restroom icon signage,Staff pointing gently | Visitor acknowledging,Arrows overlaid in scene | Written signs,Right or top-right
