context,table_index,row_index,col_index,width_cm,gridSpan,vMerge,vAlign,snippet,first_para_id
body,0,0,0,12.998,,,center,"In my opinion, managers should let staff make mistakes. This is how people learn.",p000069
body,0,1,0,12.998,,,center,"As far as I’m concerned, the best way to improve sales is to increase advertising.",p000070
body,0,2,0,12.998,,,center,"From my point of view, we need to cut the number of staff to reduce costs.",p000071
body,0,3,0,12.998,,,center,I believe the only option we have is to downsize if we want to survive this crisis.,p000072
body,0,4,0,12.998,,,center,It seems as though we didn’t do enough to promote the product effectively.,p000073
body,0,5,0,12.998,,,center,There is no doubt that we need to increase our product range to attract more customers.,p000074
body,0,6,0,12.998,,,center,I feel the best option is to do nothing. Everything is going well so far.,p000075
body,0,7,0,12.998,,,center,I’m sure that we will be successful if we follow through with my plan.,p000076
body,1,0,0,5.499,,,,Business Topics,p000079
body,1,0,1,5.499,,,,General Topics,p000080
body,1,1,0,5.499,,,,Business leaders,p000081
body,1,1,1,5.499,,,,Space exploration,p000082
body,1,2,0,5.499,,,,Recruiting new employees,p000083
body,1,2,1,5.499,,,,Pets,p000084
body,1,3,0,5.499,,,,Advertising,p000085
body,1,3,1,5.499,,,,Sports,p000086
body,1,4,0,5.499,,,,Sales strategies,p000087
body,1,4,1,5.499,,,,Entertainment,p000088
body,1,5,0,5.499,,,,Managing people,p000089
body,1,5,1,5.499,,,,Famous people,p000090
body,2,0,0,3.0,,,center,because,p000099
body,2,0,1,3.0,,,center,due to,p000100
body,2,0,2,3.0,,,center,as a result,p000101
body,2,0,3,3.0,,,center,that’s why,p000102
body,2,1,0,3.0,,,center,consequently,p000103
body,2,1,1,3.0,,,center,so,p000104
body,2,1,2,3.0,,,center,since,p000105
body,2,1,3,3.0,,,center,in order to,p000106
body,3,0,0,7.483,,,center,Communication Function,p000119
body,3,0,1,3.658,,,center,Example 1,p000120
body,3,0,2,3.658,,,center,Example 2,p000121
body,3,1,0,7.483,,,center,Explaining by giving an example,p000122
body,3,1,1,3.658,,,center,for instance,p000123
body,3,1,2,3.658,,,center,,p000124
body,3,2,0,7.483,,,center,"Giving real, true or surprising information",p000125
body,3,2,1,3.658,,,center,actually,p000126
