para_id,context,container_kind,table_index,row_index,col_index,paragraph_index,paragraph_index_in_cell,styleId,numId,ilvl,text
p000001,body,body,,,,0,,Heading3,,,Objectives
p000002,body,body,,,,1,,,,,The goals of this course are for students to:
p000003,body,body,,,,2,,ListParagraph,33,0,Learn how to structure a logical argument. This includes:
p000004,body,body,,,,3,,ListParagraph,33,1,Expressing a clear opinion.
p000005,body,body,,,,4,,ListParagraph,33,1,Developing and expressing strongly connected reasons.
p000006,body,body,,,,5,,ListParagraph,33,1,Presenting supporting evidence.
p000007,body,body,,,,6,,ListParagraph,33,0,Identify bias in a news report.
p000008,body,body,,,,7,,ListParagraph,33,0,Understand the difference between facts and fake news.
p000009,body,body,,,,8,,ListParagraph,33,0,Apply the concepts of logical reasoning in a meeting simulation.
p000010,body,body,,,,9,,,,,
p000011,body,body,,,,10,,Heading3,,,Contents
p000012,body,body,,,,11,,TOC2,,,
p000013,body,body,,,,12,,TOC2,,,
p000014,body,body,,,,13,,TOC2,,,
p000015,body,body,,,,14,,TOC2,,,
p000016,body,body,,,,15,,TOC2,,,
p000017,body,body,,,,16,,TOC2,,,
p000018,body,body,,,,17,,TOC2,,,
p000019,body,body,,,,18,,TOC2,,,
p000020,body,body,,,,19,,TOC2,,,
p000021,body,body,,,,20,,TOC2,,,
p000022,body,body,,,,21,,TOC2,,,
p000023,body,body,,,,22,,TOC2,,,
p000024,body,body,,,,23,,TOC2,,,
p000025,body,body,,,,24,,,,,
p000026,body,body,,,,25,,Heading2,,,
p000027,body,body,,,,26,,Heading2,,,An Introduction to Logical Speaking
p000028,body,body,,,,27,,,,,Here are some key concepts we will refer to throughout this course. Read and discuss them with your instructor so you can understand each of them clearly.
p000029,body,body,,,,28,,ListParagraph,6,0,Logical speaking is the combination of two things: speaking clearly and reasoning logically.
p000030,body,body,,,,29,,ListParagraph,6,0,Speaking clearly refers to the organization of your speech so that your ideas are clearly connected and easily understood by your audience.
p000031,body,body,,,,30,,ListParagraph,6,0,Reasoning logically refers to the connection of your ideas and how cyou form your opinions. Reasoning is your thought process.
p000032,body,body,,,,31,,ListParagraph,6,0,An opinion is an idea which is the result of your thinking process based on the evidence you have access to.
p000033,body,body,,,,32,,ListParagraph,6,0,Evidence is the information you have which makes you believe something is true. There are many types of evidence. Some of them are more valuable than others.
p000034,body,body,,,,33,,ListParagraph,6,0,"When you can speak logically, you can persuade your colleagues and your counterparts to accept your ideas. This process of persuading others is called argument. We use argument to show that something is true, or correct."
