Roleplay 1 Translation Quality Log
Source: mofa situations/Situations_all.yaml
Scope: instructions.roleplays (id) prompt.en and prompt.ja for each situation

Format: ID | Quality | Notes

H01 | Minor issue | English mentions "consulate" but also says the visitor arrived at the "embassy"; Japanese uses "embassy" only, so the institution type is inconsistent.
H02 | Good | No issues noted.
H03 | Good | No issues noted.
H04 | Minor issue | Japanese omits the location (New York consulate) present in English.
H05 | Good | No issues noted.
H06 | Minor issue | Japanese has a typo ("伝えてださい" missing く), but meaning is clear.
H07 | Good | No issues noted.
H08 | Minor issue | Japanese omits "from Japan" and "on business" details.
H09 | Good | No issues noted.
H10 | Good | No issues noted.
G01 | Good | No issues noted.
G02 | Good | No issues noted.
G03 | Good | No issues noted.
G04 | Good | No issues noted.
G05 | Good | No issues noted.
G06 | Good | No issues noted.
G07 | Good | No issues noted.
G08 | Good | No issues noted.
G09 | Good | No issues noted.
G10 | Good | No issues noted.
F01 | Good | No issues noted.
F02 | Good | No issues noted.
F03 | Minor issue | Japanese adds "by phone or in writing"; English specifies only calling.
F04 | Good | No issues noted.
F05 | Good | No issues noted.
F06 | Minor issue | Japanese omits the location (Sydney embassy) present in English.
F07 | Good | No issues noted.
F08 | Good | No issues noted.
F09 | Good | No issues noted.
F10 | Good | No issues noted.
E01 | Good | No issues noted.
E02 | Good | No issues noted.
E03 | Good | No issues noted.
E04 | Good | No issues noted.
E05 | Good | No issues noted.
E06 | Good | No issues noted.
E07 | Minor issue | Japanese adds that Candidate 1 has a strong interest in Japan; not stated in English.
E08 | Good | No issues noted.
E09 | Good | No issues noted.
E10 | Good | No issues noted.
D01 | Good | No issues noted.
D02 | Good | No issues noted.
D03 | Good | No issues noted.
D04 | Good | No issues noted.
D05 | Good | No issues noted.
D06 | Good | No issues noted.
D07 | Good | No issues noted.
D08 | Good | No issues noted.
D09 | Good | No issues noted.
D10 | Good | No issues noted.
C01 | Good | No issues noted.
C02 | Good | No issues noted.
C03 | Good | No issues noted.
C04 | Major issue | Japanese line is truncated and missing the final sentence about wanting to use the hotel again.
C05 | Major issue | Japanese line is truncated and missing the remainder of the prompt.
C06 | Good | No issues noted.
C07 | Good | No issues noted.
C08 | Good | No issues noted.
C09 | Good | No issues noted.
C10 | Good | No issues noted.
